"n" "SNR1" "SNR2" "b" "llik.dec" "piik1" "piik2" "piik3" "theta2.sim" "theta2.hat" "sigma2.sim" "sigma2.hat" "MSE.mu1" "MSE.mu2" "MSE.mu3" "MSE.Q1" "MSE.Q2" "MSE.Q3" "MSE.beta1" "MSE.beta2" "MSE.beta3" "MSE.betaQ1" "MSE.betaQ2" "MSE.betaQ3" "MSE.pred"
500 5 5 1 0 0.19 0.390000007038726 0.419999992961274 0.0572907827417071 0.166743209478388 0.0374540672973519 0.036693878168579 0.0451205166557789 7.56636403449173 1.93515541681389 0.192202146929191 0.21921380701147 0.351750270553721 2.87305491805442 11.3982899848873 5.59233701922428 0.00253974831300598 3.62417316590796 3.68252379999068 58.1293549695372
1000 5 5 1 0 0.19250046077004 0.364999864145539 0.442499675084422 0.0611705235312406 0.201338002606163 0.0374540672973519 0.0354425464390643 0.0844001621472427 0.0131964103656306 3.729219376902 0.149312953421529 0.0247730427214629 0.292215603141999 3.03986241332435 0.493314427617357 8.94375319644774 0.000816230629190821 0.000656560354763779 0.000853032640184551 64.5642150592526
10000 5 5 1 0 0.20020126230566 0.346774947501704 0.453023790192636 0.0594311217031944 0.209124077962679 0.0374540672973519 0.036427079983135 0.111646728277881 0.0117731820700386 3.86032883947479 0.152981108490426 0.0458003983650177 0.303310819061342 2.86581160656763 1.08161237950356 8.94828322054455 7.81499280913639e-05 5.66217299502109e-05 8.14402445554218e-05 57.6407813720692
1000 3 5 1 0 0.189993717611158 0.334028600347857 0.475977682040985 0.159036258396003 0.540459397935278 0.104039075825977 0.098441929887575 0.0969875387063417 0.017367494004141 3.7232734233265 0.158234258453214 0.0602418256769087 0.27140836452774 3.20189412580452 1.26771744941026 7.42384218142214 0.00180074090877607 0.0010543465055306 0.00179849178072843 57.6494416414784
1000 10 5 1 1 0.185 0.345 0.47 0.0142575642881597 0.0438602822420721 0.00936351682433796 0.0088445798780452 0.144890675261482 0.0155017355627651 4.10544084757807 0.217539543346064 0.0465273223717783 0.306173983335674 2.8649646400826 0.642473029129011 9.45120887540097 0.000327373628540904 0.000120318882285961 0.000243953920944158 57.1416120738449
1000 5 3 1 1 0.190000000004946 0.333749302473415 0.476250697521639 0.057253053022561 0.174823282098824 0.0374540672973519 0.0350773099802213 0.166519996722494 0.021223713826446 3.44916860453755 0.174700237403868 0.0513391852560118 0.21760722876328 2.90659986292845 0.990383509066095 6.26070719047568 0.000656546514523827 0.000407364518869119 0.00066807540140058 56.4434210986995
1000 5 10 1 1 0.184999999907238 0.344999595316441 0.47000040477632 0.0570302571526389 0.205716906985303 0.0374540672973519 0.0353905513907977 0.0892724910982606 0.0086381780833364 4.32007257509912 0.18183912986805 0.0520348227743022 0.329590432541333 4.21196850852755 0.951162765099013 9.57027024449676 0.00132074597891406 0.000491615249317522 0.000982649940739314 57.4360823182379
500 5 5 2 0 0.187500000509934 0.350001827696387 0.462498171793679 0.0626511575505112 0.20693098653387 0.0374540672973519 0.0336207161974801 0.256212401251122 0.0178328846548431 4.52368812894814 0.154522169062436 0.0430097741294257 0.259625499714057 3.0241363597233 1.00477392046419 7.26183761890993 0.00249821299784104 0.000745261992724543 0.00213024679429026 55.526205016512
1000 5 5 2 1 0.184999999907238 0.344999595316441 0.47000040477632 0.0570302571526389 0.205716906985303 0.0374540672973519 0.0353905513907977 0.0892724910982606 0.0086381780833364 4.32007257509912 0.18183912986805 0.0520348227743022 0.329590432541333 4.21196850852755 0.951162765099013 9.57027024449676 0.00132074597891406 0.000491615249317522 0.000982649940739314 57.4360823182379
10000 5 5 2 0 0.197125000001573 0.343279060862734 0.459595939135693 0.0589990732034094 0.203233149717117 0.0374540672973519 0.0363672497705968 0.0827692457915632 0.0141629898359954 4.18954594412713 0.171660156783925 0.047088091074585 0.351661263339387 3.13972637948236 1.12962838164887 10.3917303070806 7.4061459684616e-05 3.13711573957067e-05 0.000156543348991341 59.7047614638053
